id,name,artist_popularity,followers,genre
5V6tFhR6bo0AfvklxzQcqI,And Then There Were None,14,4402,christian dance
4vQgTCKK2OymTe2D8akBlg,Tristram Cary,14,1023,acousmatic
2To4jNx23pDgZJbZx9ynyJ,Johnny Maddox,14,956,honky-tonk piano
0i9t3ZUyYFXd1nZLJ1sRqb,Queen Chimera,14,10203,riot grrrl
5UhKMxkXUPTSFKUrVbAMdj,Peter Howell,15,1178,british soundtrack
4pD0TDma5JQSsb8aVN4Orb,The Redneck Manifesto,15,11617,instrumental math rock
3mraF5zs8F6dlE2FOeaawS,Pilates Studio,15,2245,pilates
0gdggS1jCNKXzFbUcOsotf,Nikki Sudden,15,5791,solo wave
40QdGpUkS23xQBhsAkmrTf,Keswick,16,1586,uk worship
474vK8QpU3WL9RxRCmo5cX,Kjetil Mulelid Trio,16,1268,norwegian jazz
3R0EMFbUS5NaombX9GQOn7,Merely,16,2499,metropopolis
4ONXEk7kAwoXUJUatvIpLU,The Pilgrim Jubilees,16,8676,contemporary gospel
6ajHSKuOp3WolBjTkvi8Ww,Jimmy Sturr,16,1441,polka
07mlkNoHj4X0n11DmGBptw,"Billy ""The Kid"" Emerson",16,1995,rhythm and blues
6Si6obxYS5yBJrdpZieVf3,Jerry Joseph,16,4638,western americana
5GmEuYwdFxc1bdl8Id3m7e,Lalu,16,2526,deep progressive rock
6Uhcb4YBtQmZJKL3jBpPX4,Deke Dickerson,17,7300,neo-rockabilly
5sAdGAVelzrPddqEqfNRDm,Razorrape,17,8024,goregrind
5tJ7jELYPd8ZRIp6dbHS7I,Karmakanic,17,11898,neo-progressive
6BsL2HkIj6DBL1tYuswybL,Enine,17,2835,indian edm
42YCCI0lmBcMB7s5gmXVDF,Orlando Consort,17,4327,choral
1POLVKYLA6vcDLln7YkGLz,NOLIVESMATTER,17,2160,necrotrap
0jZNuKQjHZqSJolXzi8kDV,Paint The Sky Red,17,7930,instrumental post-rock
6JVLqhpcrlRroql6UduuqC,Db Mandala,17,3343,indonesian emo rap
6YVY310fjfUzKi8hiqR7iK,Gangway,18,3681,danish pop rock
7pngx7BrbiM6QFuaHyw0RY,Juicy Lucy,18,13671,british blues
